2025-09-04 21:56:31 | 1006 | DEPOSIT | 3000 | 203000.0
2025-09-04 21:56:48 | 1006 | WITHDRAW | 300 | 202700.0
2025-09-05 11:56:04 | 1008 | DEPOSIT | 200 | 200200.0
2025-09-05 13:05:56 | 1007 | DEPOSIT | 500 | 2500.0
2025-09-05 13:06:38 | 1007 | WITHDRAW | 1000 | 1500.0
2025-09-05 13:09:03 | 1002 | TRANSFER_OUT->1007 | 100.0 | 49900.0
2025-09-05 13:09:03 | 1007 | TRANSFER_IN<-1002 | 100.0 | 1600.0
2025-09-06 09:59:25 | 1008 | DEPOSIT | 500.0 | 2500.0
2025-09-06 10:09:38 | 1008 | DEPOSIT | 1000.0 | 11000.0
2025-09-06 10:10:02 | 1008 | WITHDRAW | 200.0 | 10800.0
2025-09-06 10:21:19 | 1001 | TRANSFER_OUT->1002 | 200.0 | 149800.0
2025-09-06 10:21:19 | 1002 | TRANSFER_IN<-1001 | 200.0 | 50100.0
2025-09-06 10:24:17 | 1001 | WITHDRAW | 1800.0 | 148000.0
2025-09-06 10:25:31 | 1001 | REVERSAL->WITHDRAW | 1800.0 | 149800.0
